variant,driver_mix,episode_id,step,theta_name,npc_driver_types,ego_position_before,ego_speed_before,nearest_position_before,nearest_speed_before,nearest_lane_before,distance_before,distance_after,action,best_score,verified_score,fallback_triggered
collision_penalty_fix,all_normal,3,8,aggressive,normal|normal|normal|normal,"[255.40699532826736, 4.0]",39.09191513061529,"[264.25130094448747, 4.161786759312044]",17.458519155234445,"('b', 'c', 1)",8.845785255622664,5.016379262322495,"[0.2795671820640564, 0.0]",37.630311543898685,28.10194243407671,False
collision_penalty_fix,all_normal,29,8,aggressive,normal|normal|normal|normal,"[256.6258640607193, 4.0]",28.766408205032246,"[264.25130094448747, 4.161786759312044]",17.458519155234445,"('b', 'c', 1)",7.627152982851487,5.014250649204246,"[0.24493473768234253, 0.0]",37.041766643078084,25.765627489030045,False
collision_penalty_fix,default_mix,39,7,aggressive,normal|normal|aggressive|normal,"[232.86169827779116, 4.0]",28.341132164001422,"[220.4390879550966, 0.0]",18.88646884567641,"('a', 'b', 0)",13.050718264889394,5.038628878550675,"[0.49787530303001404, 0.0]",44.95206624977368,36.3541039308022,False
collision_penalty_fix,default_mix,40,13,cautious,normal|normal|normal|normal,"[258.97589100201844, 4.0]",10.466433525085396,"[270.77883806555525, 3.097263698635806]",0.05685418759389183,"('b', 'c', 1)",11.837419153449488,5.185734409749579,"[-0.5, 0.0]",-961.5491632052675,,True
collision_penalty_fix,cautious_heavy,11,4,normal,normal|cautious|aggressive|aggressive,"[149.87619469960524, 4.0]",32.10181522369382,"[157.58001552700463, 4.0]",17.91523095849831,"('a', 'b', 1)",7.703820827399397,5.0,"[-0.5, 0.0]",64.32323983361108,-971.4257441777206,True
collision_penalty_fix,cautious_heavy,19,6,normal,normal|cautious|normal|aggressive,"[219.80883797793905, 4.0]",40.04919870588517,"[219.24829141331264, 0.0]",21.501250574622684,"('a', 'b', 0)",4.0390855959133205,4.914325555560511,"[-0.04450579732656479, 0.0]",65.15615380308418,12.874970208763171,False
collision_penalty_fix,cautious_heavy,23,8,aggressive,cautious|cautious|cautious|normal,"[256.9926861762998, 4.0]",31.821616172790463,"[264.25130094448747, 4.161786759312044]",17.458519155234445,"('b', 'c', 1)",7.260417571217294,5.0163638945388955,"[0.636191189289093, 0.0]",35.824282166691276,45.04213896180419,False
collision_penalty_fix,cautious_heavy,29,7,normal,cautious|cautious|normal|cautious,"[235.28360748290987, 4.0]",40.00994682312007,"[246.39166057267994, 5.283609349674741]",15.479584600773503,"('b', 'c', 1)",11.181971937351781,6.460886396103311,"[-0.6503552198410034, 0.0]",51.68816831508571,69.32629453200268,False
