variant,driver_mix,episode_id,crashed,episode_length,total_reward,min_distance,final_speed,first_crash_step,theta_name,npc_driver_types,last_action,last_best_score,last_verified_score,last_fallback_triggered,runtime_s
baseline,all_normal,0,False,19,16.365823065627183,4.47333594606688,18.840894699096726,,normal,normal|normal|normal|normal,"[-0.11205197125673294, 0.0]",9020.57834701021,4006.1340340043657,False,0.2700575419999999
baseline,all_normal,1,False,20,17.026232777701466,5.399282333158216,8.06698751449574,,cautious,normal|normal|normal|normal,"[0.32328492403030396, 0.0]",5015.870953875685,1029.7867243536086,False,0.3100933750000001
baseline,all_normal,2,False,15,13.685135012202796,4.004970611377303,13.834203958511342,,normal,normal|normal|normal|normal,"[-0.6775953769683838, 0.0]",10035.006830312905,17071.04110469951,False,0.20984262500000006
baseline,all_normal,3,True,5,4.376547340774847,5.0,24.23793735125501,4,aggressive,normal|normal|normal|normal,"[-0.1406525820493698, 0.0]",6018.595060785181,2014.7278881252353,False,0.06573812499999998
baseline,all_normal,4,False,17,14.529200570014494,3.7309423532776815,3.4326109886168688,,aggressive,normal|normal|normal|normal,"[-0.30000001192092896, 0.0]",19004.34093242088,19004.34250640178,False,0.24005729199999992
baseline,all_normal,5,False,24,19.547587594113633,6.482184149461416,11.972836971282966,,cautious,normal|normal|normal|normal,"[0.17509718239307404, 0.0]",4037.4079803985023,3001.7341922430405,False,0.328438209
baseline,all_normal,6,True,11,9.195708377944811,3.0660446624954307,11.276838934317722,10,aggressive,normal|normal|normal|normal,"[-0.12568625807762146, 0.0]",9013.732654930353,3006.455687773153,False,0.15587287500000002
baseline,all_normal,7,False,24,19.73397316137948,7.1224236624182815,15.543014764785699,,aggressive,normal|normal|normal|normal,"[-0.10667270421981812, 0.0]",4023.011025613778,6.875168760810228,False,0.3370702080000001
baseline,all_normal,8,False,16,14.420968468983958,4.185076054607473,10.330723762512157,,aggressive,normal|normal|normal|normal,"[-0.30000001192092896, 0.0]",16004.53230016847,1005.8295366754445,False,0.2264794590000001
baseline,all_normal,9,False,21,17.666378447744595,4.277428794864744,8.257161855697708,,normal,normal|normal|normal|normal,"[0.3245971202850342, 0.0]",4008.5889964767634,24.161431951862426,False,0.29477775000000017
baseline,all_normal,10,False,19,16.22183100984019,4.005656863186769,11.24455451965333,,normal,normal|normal|normal|normal,"[-0.5661804676055908, 0.0]",9022.495145075156,50.13568474973962,False,0.25989433400000017
baseline,all_normal,11,True,11,9.009417388041019,5.185546281505769,14.0424378568296,10,cautious,normal|normal|normal|normal,"[-0.16412799060344696, 0.0]",9031.690400026875,3006.400580629093,False,0.15576804200000005
baseline,all_normal,12,False,15,11.965012254970661,4.811198401797094,16.858539342880132,,normal,normal|normal|normal|normal,"[0.06774546951055527, 0.0]",9026.031643231932,3007.2104210834646,False,0.22185116700000007
baseline,all_normal,13,False,20,17.15581035878922,4.48537255258465,17.518979310989355,,normal,normal|normal|normal|normal,"[0.7220444679260254, 0.0]",5030.417628279145,2092.599980725492,False,0.28842845799999983
baseline,all_normal,14,False,22,18.619230206807458,5.6178713740681845,23.17465162277222,,cautious,normal|normal|normal|normal,"[0.7603608965873718, 0.0]",9048.716397060402,1153.732252935134,False,0.28857849999999985
baseline,all_normal,15,True,5,4.331899527845077,5.222691590766895,18.495438707228992,4,cautious,normal|normal|normal|normal,"[-0.3293454945087433, 0.0]",5034.415395683913,6028.672212436929,False,0.06633337500000014
baseline,all_normal,16,False,22,18.356475014156768,4.145873080431389,8.340353965759277,,normal,normal|normal|normal|normal,"[0.13707874715328217, 0.0]",4023.992962435056,3007.6990704670447,False,0.3101784580000002
baseline,all_normal,17,False,15,12.522184744487891,5.748699362028295,20.950937986373884,,normal,normal|normal|normal|normal,"[0.28671175241470337, 0.0]",8020.56807965799,4013.5624775450833,False,0.20773925000000037
baseline,all_normal,18,False,17,15.17097424666087,8.972733455898123,17.05069661140443,,normal,normal|normal|normal|normal,"[0.3227952718734741, 0.0]",14038.61842811259,3026.3476703936685,False,0.24341737499999994
baseline,all_normal,19,True,11,8.980740000705197,5.201862797294378,11.72917176140674,10,cautious,normal|normal|normal|normal,"[-0.8744125962257385, 0.0]",20067.398246420023,20192.003051980533,False,0.15965620899999955
baseline,all_normal,20,False,16,14.44659951792822,13.0348671406302,18.117309331893843,,normal,normal|normal|normal|normal,"[-0.29686439037323, 0.0]",7025.120678420662,5015.25420352124,False,0.2286529169999998
baseline,all_normal,21,False,50,24.285372833311534,4.003124026297721,9.49793529510503,,normal,normal|normal|normal|normal,"[1.0, 0.0]",3033.6019033742846,1166.480647908526,False,0.6911249169999998
baseline,all_normal,22,False,20,16.894465296190862,4.895348806337918,6.5231132507323935,,cautious,normal|normal|normal|normal,"[-0.4849056899547577, 0.0]",4059.244658973449,60.621862074789036,False,0.2776613750000001
baseline,all_normal,23,True,10,8.521526649980297,5.18896654503818,18.241759300231912,9,cautious,normal|normal|normal|normal,"[-0.18909704685211182, 0.0]",6063.424576155652,5009.2286652823805,False,0.15650816600000006
baseline,all_normal,24,False,17,15.25361388789282,11.02295508049577,21.219390392303403,,aggressive,normal|normal|normal|normal,"[0.17108120024204254, 0.0]",12009.770414403305,3019.0513882402684,False,0.24448283399999937
baseline,all_normal,25,False,19,16.506401753425603,4.0519227478145465,18.615930557250984,,normal,normal|normal|normal|normal,"[0.03969232738018036, 0.0]",9025.280310714305,7006.6727041203185,False,0.2684122499999999
baseline,all_normal,26,False,20,17.16166436672212,4.193636333392573,13.054473638534612,,normal,normal|normal|normal|normal,"[-0.622186541557312, 0.0]",7029.701876475907,60.56383714162962,False,0.2859609169999997
baseline,all_normal,27,True,10,8.379273224364255,4.527094519786814,20.236588122106408,9,cautious,normal|normal|normal|normal,"[-0.30000001192092896, 0.0]",6022.579263320117,6022.553965946041,False,0.14159604199999976
baseline,all_normal,28,True,6,5.317871154858816,5.0,14.02263571448468,5,cautious,normal|normal|normal|normal,"[-0.5534764528274536, 0.0]",5035.700283010979,16077.918668153558,False,0.08319370799999959
baseline,all_normal,29,False,19,16.270869825338536,6.416517614024065,17.54239749908445,,aggressive,normal|normal|normal|normal,"[0.14671877026557922, 0.0]",14020.06740286059,2015.7432043309802,False,0.27599387500000017
baseline,all_normal,30,False,17,15.190172049734326,9.154742087248046,15.757021665573104,,normal,normal|normal|normal|normal,"[0.08144018054008484, 0.0]",10019.601401131657,2004.568161898003,False,0.24251999999999896
baseline,all_normal,31,False,20,16.93987190530223,5.173162627505165,14.590523481369027,,normal,normal|normal|normal|normal,"[0.39732006192207336, 0.0]",9053.767677779591,34.819941950253956,False,0.2670661659999993
baseline,all_normal,32,False,24,18.387601848785096,3.8604786360306305,17.41875600814816,,cautious,normal|normal|normal|normal,"[0.450350821018219, 0.0]",7032.604404326943,4055.858695228505,False,0.32288020799999906
baseline,all_normal,33,False,14,11.483017836400364,4.018394839478811,16.782539606094364,,aggressive,normal|normal|normal|normal,"[0.29431167244911194, 0.0]",14008.147495925255,3022.5152504975817,False,0.203932
baseline,all_normal,34,False,50,24.501133212678937,4.007170666503706,-1.635337352752654,,aggressive,normal|normal|normal|normal,"[0.07363488525152206, 0.0]",8006.016046703173,2002.2860264751316,False,0.7389346670000005
baseline,all_normal,35,False,20,17.119881359736112,5.478430113843402,12.312871217727578,,cautious,normal|normal|normal|normal,"[0.21670417487621307, 0.0]",5037.058603509094,3013.8047612274495,False,0.27699454199999884
baseline,all_normal,36,False,28,22.074530772433757,4.11156366182313,6.679459810256988,,cautious,normal|normal|normal|normal,"[0.10079799592494965, 0.0]",3036.818634571071,4.127805740268012,False,0.40279254200000025
baseline,all_normal,37,True,8,7.023627585417126,5.151108850986718,9.039446077891414,7,cautious,normal|normal|normal|normal,"[-0.9927759766578674, 0.0]",18072.63964107801,19208.025097903654,False,0.11401945799999957
baseline,all_normal,38,True,6,5.398978651772801,5.0,22.969150770681853,5,aggressive,normal|normal|normal|normal,"[-0.3265838921070099, 0.0]",6025.042364169806,5012.142728904351,False,0.08391450000000056
baseline,all_normal,39,True,8,7.03741762665652,5.0,11.248009944924624,7,normal,normal|normal|normal|normal,"[-0.30000001192092896, 0.0]",7015.548750860022,7015.914981525137,False,0.12898008300000008
baseline,all_normal,40,False,23,18.633600478928035,4.024307717369675,15.515635728836118,,aggressive,normal|normal|normal|normal,"[0.342197448015213, 0.0]",10009.953419805337,2024.410884618103,False,0.331393417000001
baseline,all_normal,41,True,6,5.2967043912971565,5.0,18.280185549538125,5,cautious,normal|normal|normal|normal,"[-0.18550775945186615, 0.0]",16064.85580776825,5010.885265060844,False,0.07931887500000023
baseline,all_normal,42,False,17,15.106944995456256,5.125705878739849,10.369071483611936,,aggressive,normal|normal|normal|normal,"[-0.30000001192092896, 0.0]",15005.516423394438,5.889223261943841,False,0.22548087500000058
baseline,all_normal,43,False,21,17.766059480773063,4.687152897087981,14.534528017044002,,cautious,normal|normal|normal|normal,"[0.5444799065589905, 0.0]",6024.5600171980595,1080.6356854705648,False,0.30208829200000054
baseline,all_normal,44,True,7,6.220407255263704,5.0,12.407243469796672,6,cautious,normal|normal|normal|normal,"[-0.20699355006217957, 0.0]",12071.53798682597,3012.4486031993533,False,0.09863958300000064
baseline,all_normal,45,False,16,14.37621003521813,4.000993194262574,11.402798414230313,,aggressive,normal|normal|normal|normal,"[-0.30000001192092896, 0.0]",16005.31874995473,1006.1197705433809,False,0.245821166999999
baseline,all_normal,46,False,19,16.380173567323443,4.086076251797028,16.629110574722333,,cautious,normal|normal|normal|normal,"[-0.264379620552063, 0.0]",13032.333950006838,2018.150509950831,False,0.31713024999999995
baseline,all_normal,47,False,19,16.359893385569244,6.06950297262697,8.03859567642206,,aggressive,normal|normal|normal|normal,"[-0.12920589745044708, 0.0]",13018.84340812598,1002.4647002844686,False,0.250463667
baseline,all_normal,48,False,22,17.90931029077442,4.157713896350878,6.66862082481378,,normal,normal|normal|normal|normal,"[0.1639176905155182, 0.0]",6008.571337660013,2008.8230957412225,False,0.31268879100000113
baseline,all_normal,49,False,16,14.401582672860888,13.146381894577418,19.5806088447571,,aggressive,normal|normal|normal|normal,"[-0.34727978706359863, 0.0]",12018.21180175045,13009.552367911132,False,0.2163531669999994
baseline,default_mix,0,False,20,17.087038572629282,5.851429900956181,20.533548831939648,,cautious,aggressive|normal|normal|normal,"[0.6754840016365051, 0.0]",5051.009461967193,2121.7847060653526,False,0.3039761670000001
baseline,default_mix,1,False,15,13.669837733101767,14.023833995880473,21.91370820999131,,cautious,cautious|normal|normal|aggressive,"[0.28101053833961487, 0.0]",10045.94287441413,3004.4792466138783,False,0.23723808299999938
baseline,default_mix,2,False,19,16.387957888179354,5.555197904553397,17.630825757980357,,cautious,aggressive|normal|normal|normal,"[-0.23170390725135803, 0.0]",13033.923509595425,3014.280464020069,False,0.2542747089999988
baseline,default_mix,3,False,17,14.909576811447957,9.69435661710373,9.897586107254032,,aggressive,normal|aggressive|normal|normal,"[-0.30000001192092896, 0.0]",15005.428851107012,5.799223507618395,False,0.2344079170000004
baseline,default_mix,4,True,4,3.425693821073943,5.0,19.616739913348063,3,aggressive,normal|aggressive|cautious|cautious,"[-0.2573763132095337, 0.0]",5024.819064438239,2014.6335383322687,False,0.05165099999999967
baseline,default_mix,5,True,7,6.199238755199264,5.0,18.016839911903418,6,cautious,normal|normal|cautious|normal,"[0.21948061883449554, 0.0]",6023.189218869793,4016.5159040715707,False,0.09495224999999863
baseline,default_mix,6,True,7,6.174242370204979,5.0,10.05353148670692,6,normal,cautious|normal|normal|cautious,"[-0.3451451063156128, 0.0]",18045.725180319976,7021.272930691335,False,0.0971092089999992
baseline,default_mix,7,False,17,15.13652273019155,20.063417226170706,18.50723409652705,,aggressive,normal|normal|normal|normal,"[0.14723393321037292, 0.0]",8003.376527334601,5016.2615863411265,False,0.23729758300000015
baseline,default_mix,8,False,15,12.692985921474396,5.950698121712132,13.166591167449955,,normal,normal|cautious|aggressive|normal,"[-0.3914412558078766, 0.0]",10023.692035104512,24.32173644828527,False,0.218474917
baseline,default_mix,9,False,50,35.382382504183845,4.3587842844548295,5.683053493499862,,aggressive,aggressive|cautious|normal|normal,"[-0.6002763509750366, 0.0]",17006.66398445887,17018.861897297247,False,0.692464417
baseline,default_mix,10,False,22,18.37229719355101,6.999273879954984,17.84116578102109,,aggressive,normal|normal|aggressive|cautious,"[0.6074953675270081, 0.0]",3021.4918315157493,3040.538385122735,False,0.3040210830000003
baseline,default_mix,11,True,6,5.235709141279886,5.0,14.367429129984819,5,normal,aggressive|aggressive|normal|normal,"[-0.20121991634368896, 0.0]",6031.054189021923,6011.505155441029,False,0.08279333300000147
baseline,default_mix,12,False,19,16.510154406229656,4.0083812049220064,14.74005126953125,,normal,normal|normal|normal|normal,"[-0.2978358864784241, 0.0]",12016.844972589492,1014.9911192553237,False,0.273731999999999
baseline,default_mix,13,False,18,15.339102802492464,4.528121210399084,8.222700119018503,,cautious,normal|normal|normal|cautious,"[-0.30000001192092896, 0.0]",18021.12234854086,1023.1078057978456,False,0.2880022079999982
baseline,default_mix,14,False,17,15.12680063584302,11.477056393099366,19.564102649688603,,aggressive,cautious|normal|normal|normal,"[0.284995436668396, 0.0]",7008.8207797573,4023.1641883974753,False,0.24001779199999973
baseline,default_mix,15,False,20,16.78332006805412,4.120218973108872,16.658050060272146,,normal,normal|aggressive|normal|normal,"[1.0, 0.0]",16044.771350712464,2167.046213269024,False,0.28674450000000107
baseline,default_mix,16,False,18,13.039425142807168,4.088321676348748,20.1753375530242,,aggressive,aggressive|normal|normal|normal,"[0.5701087713241577, 0.0]",14022.802685734649,1038.6494377998285,False,0.2545305830000011
baseline,default_mix,17,False,21,17.323695922123786,4.0007972179051805,14.867800951004055,,normal,normal|normal|normal|normal,"[0.6933946013450623, 0.0]",5027.6466040158875,2084.6927626829097,False,0.33571654100000003
baseline,default_mix,18,False,20,17.175108199649394,4.088688264095352,21.97078990936283,,normal,normal|normal|normal|normal,"[0.5989317893981934, 0.0]",7996.7429330187515,2067.583160496616,False,0.29931350000000023
baseline,default_mix,19,False,50,23.634958639990646,4.010772496186208,3.184155702590974,,aggressive,normal|aggressive|normal|aggressive,"[-0.16347134113311768, 0.0]",1020.9554109463467,1.6371417669663477,False,0.6964421250000008
baseline,default_mix,20,False,20,17.115555514229666,5.900806148074168,18.231287717819217,,cautious,aggressive|normal|normal|normal,"[0.38162827491760254, 0.0]",6036.893758658785,3041.610026465271,False,0.2922244589999998
baseline,default_mix,21,False,22,18.381403734948886,4.027830299818938,10.641982793807912,,cautious,normal|normal|normal|aggressive,"[-0.17787648737430573, 0.0]",3035.7523589591583,8.603138102656752,False,0.34094212500000154
baseline,default_mix,22,False,27,21.188043295238483,4.039849530906455,7.670562982559221,,normal,normal|normal|normal|normal,"[0.10148908942937851, 0.0]",3032.462713165939,1005.6856541938077,False,0.3904663750000026
baseline,default_mix,23,True,12,9.813724624503195,5.190826329481911,9.70888900756825,11,normal,normal|normal|cautious|normal,"[-0.38652700185775757, 0.0]",20020.91138482403,20022.79840292384,False,0.16573495900000168
baseline,default_mix,24,True,7,6.223881416456511,5.0,13.785392487342362,6,cautious,normal|normal|normal|normal,"[-0.277121365070343, 0.0]",12024.49802459633,3020.4489101484437,False,0.0967403750000031
baseline,default_mix,25,False,17,15.141032425562534,10.844041289507384,19.690380334854066,,aggressive,aggressive|normal|aggressive|normal,"[0.2992165982723236, 0.0]",15002.84655035193,3024.09593155843,False,0.24000641599999994
baseline,default_mix,26,False,37,26.27421696747487,4.106710770299383,14.581100702285774,,normal,aggressive|normal|aggressive|cautious,"[1.0, 0.0]",2055.7493988443016,1166.9254505953913,False,0.5493999580000022
baseline,default_mix,27,False,21,16.584161482955437,4.307655362140192,8.155961751937811,,cautious,normal|normal|normal|normal,"[-0.06672658026218414, 0.0]",2040.8559742145742,1.803927413854696,False,0.2826242090000015
baseline,default_mix,28,False,17,15.057993565665347,4.6185406043422566,7.089416265487671,,cautious,normal|aggressive|cautious|normal,"[-0.24604791402816772, 0.0]",15026.184765590266,15.540843359498288,False,0.24172929200000226
baseline,default_mix,29,False,19,16.349949706925273,5.227935644746092,12.46398830413808,,cautious,normal|normal|normal|normal,"[0.07658971101045609, 0.0]",11015.49662376241,3002.591520980483,False,0.2605970830000004
baseline,default_mix,30,False,21,17.48122441112936,6.150296403376819,18.7956600189209,,cautious,aggressive|normal|normal|normal,"[0.6374095678329468, 0.0]",9043.005570401854,1089.3645833003961,False,0.2951258750000001
baseline,default_mix,31,True,4,3.464319150733476,5.0,26.239924051242404,3,cautious,normal|normal|normal|cautious,"[-0.18225087225437164, 0.0]",5057.30551401278,1010.7515897733799,False,0.08012333300000307
baseline,default_mix,32,False,19,16.22800349731101,4.044821239808271,14.126341819763114,,aggressive,normal|normal|aggressive|normal,"[1.0, 0.0]",4022.332590784202,1074.0358704534874,False,0.27591558299999974
baseline,default_mix,33,False,17,13.685623443468437,5.788389839883916,8.688047885894798,,aggressive,normal|normal|normal|normal,"[-0.30000001192092896, 0.0]",16005.193753322168,5.516499463055001,False,0.23073608300000004
