variant,all_normal_crash_rate,default_mix_crash_rate,cautious_heavy_crash_rate,aggressive_heavy_crash_rate,avg_min_distance,avg_reward,avg_runtime_per_episode
baseline,0.26,0.18,0.28,0.14,5.764280807817411,14.538113775386435,0.2586244141650002
collision_dist_8,0.32,0.22,0.28,0.24,6.007592208607876,14.26508081722953,0.27042808441500044
collision_dist_10,0.26,0.3,0.2,0.18,5.860606179598136,14.219980948747006,0.2715574346100005
proximity_2x,0.14,0.2,0.14,0.22,5.612375615724625,14.497139032049086,0.27803531934499914
horizon_10,0.44,0.42,0.46,0.3,6.321343749241383,10.67503462632818,0.1574607341799998
samples_100,0.28,0.1,0.3,0.18,5.528275576766038,14.845096930723853,0.3763162833649987
top5_recompute,0.22,0.28,0.28,0.3,6.343194390987616,12.55450003093095,0.31446013086500213
fallback_0p8,0.22,0.32,0.34,0.08,5.683151100519061,14.13947622904142,0.25937025960000054
fallback_1p0,0.28,0.22,0.34,0.36,5.765664039899543,13.503279432325563,0.24890798855500237
