method,episodes,merge_success_rate,crash_rate,short_timeout_rate,mean_reward,mean_speed,mean_steps,mean_merge_step,mean_min_distance,mean_min_ttc,clamp_rate
bc,50,0.0,0.1,0.9,84.25780583376587,2.9331409129103267,135.24,nan,11.839163587054145,17.210375973256138,0.3714206942692527
ppo,50,0.96,0.0,0.04,122.81545969960183,19.561297700755162,47.22,27.625,21.64831224507213,15.111024155207764,0.0
baseline,50,0.9,0.02,0.08,45.84369402195629,6.556921652099561,63.64,48.733333333333334,5.29378263516775,0.6042895317322424,0.3456674734221975
mpc,50,0.92,0.02,0.06,42.23793019466731,7.892534701661732,58.34,46.26086956521739,5.020352128422248,0.47866919218422443,0.3350543217117699
