epoch,train_loss,val_loss,lr
1,0.06585449874401092,0.06515473406761885,0.001
2,0.06210894773785885,0.06333624524995685,0.001
3,0.06074829144546619,0.0625778459943831,0.001
4,0.06045685995083589,0.06196164106950164,0.001
5,0.060561532699144806,0.061248629819601774,0.001
6,0.0604578751210983,0.06155930599197745,0.001
7,0.060118115464082134,0.06181991379708052,0.001
8,0.059937555514849146,0.061173542868345976,0.001
9,0.06011014764125531,0.06133885309100151,0.001
10,0.05957482566054051,0.061446147970855236,0.001
11,0.05916718960954593,0.06194095406681299,0.001
12,0.05929682948268377,0.06084954272955656,0.001
13,0.05948675635915536,0.06098727649077773,0.001
14,0.05907669118963755,0.06148566212505102,0.001
15,0.0591376196879607,0.06067001633346081,0.001
16,0.058549783665400285,0.060589566361159086,0.001
17,0.05922329660791617,0.0607925564981997,0.001
18,0.05925419731782033,0.06131483381614089,0.001
19,0.05945151110108082,0.061887264251708984,0.001
20,0.05957021782031426,0.061000678688287735,0.001
21,0.059275974734471396,0.06052934983745217,0.001
22,0.05915064570995478,0.06102895922958851,0.001
23,0.058676148664492826,0.06093680765479803,0.001
24,0.05874767251885854,0.060871107038110495,0.001
25,0.05876198376600559,0.06105929519981146,0.001
26,0.05900744222677671,0.06072037247940898,0.001
27,0.058547033025668216,0.06082427268847823,0.001
28,0.05846928060054779,0.060899372678250074,0.001
29,0.058312779321120334,0.06089357426390052,0.001
30,0.05845146941450926,0.061275129206478596,0.001
31,0.05852262400663816,0.06105352658778429,0.001
32,0.05891647642621627,0.06105154333636165,0.0005
33,0.05782351167156146,0.06088288361206651,0.0005
34,0.05767703199615845,0.06063874438405037,0.0005
35,0.057637729954261044,0.0609124475158751,0.0005
36,0.057921791535157426,0.06103981053456664,0.0005
37,0.05768619351662122,0.06072520650923252,0.0005
38,0.05758140814992098,0.06080992240458727,0.0005
39,0.05720686860955679,0.06101057259365916,0.0005
40,0.057509736200937855,0.06077592168003321,0.0005
41,0.05694295718119695,0.061106805223971605,0.0005
42,0.05732466349234948,0.06079244054853916,0.0005
43,0.05685124282653515,0.061188782565295696,0.00025
44,0.056544866412878036,0.06078443955630064,0.00025
45,0.05690924089688521,0.060923291370272636,0.00025
46,0.05677193821622775,0.06094007892534137,0.00025
47,0.05684302752980819,0.06081183720380068,0.00025
48,0.05709304173405354,0.06094851717352867,0.00025
49,0.05684240993398886,0.06085101142525673,0.00025
50,0.056812728597567634,0.060819742269814014,0.00025
51,0.05657306829324135,0.060997460037469864,0.00025
52,0.05644225678764857,0.060851195361465216,0.00025
53,0.056804958960184684,0.06081558903679252,0.00025
54,0.05674990008656795,0.060954412911087275,0.000125
55,0.05637749318893139,0.060858119279146194,0.000125
56,0.056367182330443306,0.06098169321194291,0.000125
57,0.05636450533683483,0.060934032779186964,0.000125
58,0.056474422548825925,0.060981255024671555,0.000125
59,0.05632853112541712,0.06094513228163123,0.000125
60,0.056323721259832385,0.06100274529308081,0.000125
61,0.05593617684566057,0.06111293053254485,0.000125
62,0.05593373958881085,0.06108524650335312,0.000125
63,0.05593491655129653,0.06098933145403862,0.000125
64,0.05598824419654333,0.06110865017399192,0.000125
65,0.0561303636775567,0.06101294653490186,6.25e-05
66,0.055957595717448454,0.06106041232123971,6.25e-05
67,0.05571755239596734,0.06108227605000138,6.25e-05
68,0.055719713350901236,0.06103343889117241,6.25e-05
69,0.05598872068982858,0.06104366946965456,6.25e-05
70,0.05611662371800496,0.06102351006120443,6.25e-05
71,0.05594520058769446,0.06104585528373718,6.25e-05
72,0.05584822864486621,0.06106694834306836,6.25e-05
73,0.05574043226929811,0.06108736479654908,6.25e-05
74,0.05570133236738352,0.06111739808693528,6.25e-05
75,0.0556577426309769,0.06112365843728185,6.25e-05
76,0.05586575470291651,0.06104504410177469,3.125e-05
77,0.05577527582645416,0.06108383275568485,3.125e-05
78,0.05552047748978321,0.061085010413080454,3.125e-05
79,0.055290758036650144,0.06108015310019255,3.125e-05
80,0.055483703028697234,0.06109792739152908,3.125e-05
81,0.056063207640097694,0.06109824450686574,3.125e-05
82,0.055344799562142444,0.06112160440534353,3.125e-05
83,0.05605832424301368,0.06110132019966841,3.125e-05
84,0.056080873024005155,0.06111207650974393,3.125e-05
85,0.05543954555804913,0.061106959357857704,3.125e-05
86,0.0557419876066538,0.06107506342232227,3.125e-05
87,0.05545910040919597,0.06111472612246871,1.5625e-05
88,0.05537343019476304,0.06110614351928234,1.5625e-05
89,0.055588695808098866,0.061122785322368145,1.5625e-05
90,0.05554536093886082,0.06112649105489254,1.5625e-05
91,0.05562602270108003,0.06112949829548597,1.5625e-05
92,0.055511122483473556,0.061120330821722746,1.5625e-05
93,0.05526364382642966,0.06113428436219692,1.5625e-05
94,0.0553108196419019,0.061117712408304214,1.5625e-05
95,0.0558247226362045,0.06113021308556199,1.5625e-05
96,0.0558472582927117,0.06112662749364972,1.5625e-05
97,0.056114576642329876,0.06112910620868206,1.5625e-05
98,0.05522086488512846,0.06113738194108009,7.8125e-06
99,0.05523216592577788,0.061140427365899086,7.8125e-06
100,0.0556867618400317,0.061139822006225586,7.8125e-06
