epoch,train_loss,val_loss,lr
1,0.11795468888047969,0.1130475765094161,0.001
2,0.11493002318523148,0.11372501216828823,0.001
3,0.11455009956703041,0.11325795017182827,0.001
4,0.11458422638701671,0.11455276887863874,0.001
5,0.11438324325012439,0.11409424152225256,0.001
6,0.11403594515991933,0.11294582486152649,0.001
7,0.11380927050203989,0.11278838012367487,0.001
8,0.1135436814617027,0.1134105147793889,0.001
9,0.11363768047004034,0.11383980326354504,0.001
10,0.11389514047539595,0.11303758807480335,0.001
11,0.11337022596236432,0.1133812740445137,0.001
12,0.11360441848184123,0.1128656780347228,0.001
13,0.11348170301679408,0.1131268460303545,0.001
14,0.11323799813787143,0.11245851218700409,0.001
15,0.11335796817685619,0.11229607928544283,0.001
16,0.11309229706724484,0.1137788612395525,0.001
17,0.1132335549954212,0.11309843510389328,0.001
18,0.11324337429621002,0.11283656395971775,0.001
19,0.11323681530175787,0.11266598664224148,0.001
20,0.11326488412239334,0.11329504568129778,0.001
21,0.11302270875735716,0.11360434908419847,0.001
22,0.11317903164661292,0.11222740728408098,0.001
23,0.11283023948922302,0.11296360101550817,0.001
24,0.1129610442528219,0.11302238795906305,0.001
25,0.11294128734505537,0.11259008571505547,0.001
26,0.11301554118593533,0.11266330908983946,0.001
27,0.11284701492298733,0.1130753718316555,0.001
28,0.11285458279378487,0.11253670137375593,0.001
29,0.11282719028266994,0.11261547636240721,0.001
30,0.11291520794232686,0.11246220115572214,0.001
31,0.112868219049591,0.11489533353596926,0.001
32,0.11270773162444432,0.11287521105259657,0.001
33,0.11253949096708586,0.11321579199284315,0.0005
34,0.11224516944000215,0.11316203232854605,0.0005
35,0.1121088330718604,0.11272862926125526,0.0005
36,0.1120335077020255,0.11301597021520138,0.0005
37,0.1117613273813869,0.11375451181083918,0.0005
38,0.11209737046649962,0.1128633888438344,0.0005
39,0.11189680478789589,0.1132237808778882,0.0005
40,0.11201959825826413,0.11300548166036606,0.0005
41,0.11213386442625162,0.11278046760708094,0.0005
42,0.1118519866105282,0.11314983293414116,0.0005
43,0.11180400001731786,0.11283877864480019,0.0005
44,0.11197819233392224,0.1125769717618823,0.00025
45,0.11141435124657371,0.1132128220051527,0.00025
46,0.11138416826725006,0.11302519403398037,0.00025
47,0.11129291231433551,0.11313324421644211,0.00025
48,0.11116517515796603,0.11324247717857361,0.00025
49,0.11137537567904501,0.11353076994419098,0.00025
50,0.11136943745342168,0.11342632863670588,0.00025
51,0.11104345400676582,0.11287722457200289,0.00025
52,0.1113893414537112,0.11382867861539125,0.00025
53,0.11121685825514072,0.11348300706595182,0.00025
54,0.11095393584533171,0.1130877761170268,0.00025
55,0.11090305481444705,0.11342750210314989,0.000125
56,0.11085952682928606,0.11348322592675686,0.000125
57,0.1109387952495705,0.11358199920505285,0.000125
58,0.11045578946218346,0.11367460247129202,0.000125
59,0.11067157870892322,0.11365920212119818,0.000125
60,0.11053386116118143,0.113888468593359,0.000125
61,0.11054964871569113,0.11363804992288351,0.000125
62,0.11047865777756229,0.11365969385951757,0.000125
63,0.11063872345469215,0.11379874870181084,0.000125
64,0.11054924536835063,0.11367305275052786,0.000125
65,0.11043982535149112,0.1138922544196248,0.000125
66,0.11058548871766437,0.11408724635839462,6.25e-05
67,0.11017719328855023,0.11400670558214188,6.25e-05
68,0.11036417542984991,0.11391101311892271,6.25e-05
69,0.11027256026864052,0.11405409220606089,6.25e-05
70,0.11017843979326161,0.11388182453811169,6.25e-05
71,0.11029316225286687,0.1141280671581626,6.25e-05
72,0.1105223528363488,0.11408002581447363,6.25e-05
73,0.11004379211050092,0.11391288507729769,6.25e-05
74,0.11003494127230211,0.11407633032649755,6.25e-05
75,0.10989394129225702,0.11409732419997454,6.25e-05
76,0.11001040696194678,0.11400424502789974,6.25e-05
77,0.1099236560138789,0.11423152405768633,3.125e-05
78,0.10989711015965,0.11410895921289921,3.125e-05
79,0.11005889748533566,0.11414752714335918,3.125e-05
80,0.10982181955919121,0.1141459122300148,3.125e-05
81,0.10982365635308353,0.11420236434787512,3.125e-05
82,0.11016484609607494,0.11417579837143421,3.125e-05
83,0.10984883039738193,0.11412824504077435,3.125e-05
84,0.10995630141008984,0.11422051303088665,3.125e-05
85,0.10991049975608334,0.11417109332978725,3.125e-05
86,0.10971334903980746,0.11426972970366478,3.125e-05
87,0.10961511347329977,0.11423004604876041,3.125e-05
88,0.1100224122179277,0.11426921933889389,1.5625e-05
89,0.1098822865522269,0.11426614411175251,1.5625e-05
90,0.10987457181468155,0.11425188928842545,1.5625e-05
91,0.10987811614618156,0.11424932070076466,1.5625e-05
92,0.10988158326257359,0.11428357660770416,1.5625e-05
93,0.10965180126103488,0.11427012085914612,1.5625e-05
94,0.10981777321660158,0.11426240019500256,1.5625e-05
95,0.10964706325621316,0.11427286546677351,1.5625e-05
96,0.10978573334939552,0.11429001670330763,1.5625e-05
97,0.10971603000705893,0.11427990812808275,1.5625e-05
98,0.10948490272417213,0.11428259406238794,1.5625e-05
99,0.10991055597410057,0.1143065532669425,7.8125e-06
100,0.10964185270396146,0.11427802499383688,7.8125e-06
