epoch,train_loss,val_loss,lr
1,0.061714320873411804,0.06082694990367725,0.001
2,0.05969443209469318,0.06030565050655398,0.001
3,0.059155025204213764,0.06075335101320826,0.001
4,0.058890875787116014,0.06013788115875474,0.001
5,0.05893530361354351,0.05998150387714649,0.001
6,0.05876123551279307,0.05993106909866991,0.001
7,0.05874458231891577,0.0611528382989867,0.001
8,0.0586002843741041,0.05972612379439946,0.001
9,0.05858359399896402,0.05971659411644113,0.001
10,0.05857422595413832,0.06018797256823244,0.001
11,0.05844011397029345,0.05996368106069236,0.001
12,0.058412763419059606,0.059745849848821246,0.001
13,0.05848678624114165,0.05996379654469161,0.001
14,0.05840701936529233,0.06002426841135683,0.001
15,0.05835886915715841,0.05989834190956477,0.001
16,0.05827731419927799,0.05981525342012274,0.001
17,0.0583726776477236,0.05956130038047659,0.001
18,0.05832003877999691,0.059825277020191324,0.001
19,0.05823269900507652,0.059865342131976425,0.001
20,0.058159432660501734,0.059854631665451775,0.001
21,0.05822745107400876,0.05982797477265884,0.001
22,0.058198291550462064,0.06004054792996111,0.001
23,0.05815788090515595,0.059851054230640674,0.001
24,0.05809932480064722,0.05977511984007112,0.001
25,0.05813765852497174,0.05995220883653082,0.001
26,0.058010505612653036,0.0602584275706061,0.001
27,0.05808867640220202,0.05978337739562166,0.001
28,0.05804731640964746,0.059604986345973505,0.0005
29,0.05777205280386485,0.059678963032262076,0.0005
30,0.05768519304692745,0.059741669944648086,0.0005
31,0.057588329538702965,0.059515451434357415,0.0005
32,0.05770705060030405,0.05966816367260341,0.0005
33,0.05760270870075776,0.059840159940308536,0.0005
34,0.057583780858952265,0.05982391972993982,0.0005
35,0.05754294042977003,0.059652981573137746,0.0005
36,0.057472430714047874,0.059691969433735156,0.0005
37,0.05755416021610682,0.05992687442179384,0.0005
38,0.05755329882869353,0.05970328108503901,0.0005
39,0.057491794644066924,0.059846930719655134,0.0005
40,0.057449309169673,0.059840230206991064,0.0005
41,0.05746525905739803,0.06001525898945743,0.0005
42,0.057447059309253326,0.059860362960346816,0.00025
43,0.057272094588440195,0.059919471242304505,0.00025
44,0.0571309914955726,0.059813282227721705,0.00025
45,0.057184059745990314,0.059841960283188986,0.00025
46,0.05710181500762701,0.059830193247260716,0.00025
47,0.057101188485439006,0.059847743218315055,0.00025
48,0.05707336475069706,0.05989421326024779,0.00025
49,0.05704688518666304,0.059774611916007664,0.00025
50,0.05702363054912824,0.05981501101933677,0.00025
51,0.056983000169006676,0.05980680536093383,0.00025
52,0.05693237502127886,0.05983054997592137,0.00025
53,0.057011862228123045,0.06002731608419583,0.000125
54,0.05679830275475979,0.05999992261159009,0.000125
55,0.05676104407757521,0.05994263445508891,0.000125
56,0.05673555935231539,0.05995694804808189,0.000125
57,0.05672308071874655,0.05998164787888527,0.000125
58,0.056708198613845386,0.05998505998788209,0.000125
59,0.05671174706747899,0.06015077464539429,0.000125
60,0.056673248756963474,0.05996864147741219,0.000125
61,0.056729297067683475,0.060097766590529476,0.000125
62,0.05668108781369833,0.06000969944329097,0.000125
63,0.05673207309670173,0.06002207704145333,0.000125
64,0.056626827069200004,0.060025513300607944,6.25e-05
65,0.056462074558322244,0.06006639951775814,6.25e-05
66,0.05655854105089719,0.060121592519612146,6.25e-05
67,0.05650114411344895,0.060103168004545675,6.25e-05
68,0.056435223740453906,0.06007490191480209,6.25e-05
69,0.05652073186177474,0.060156277541456554,6.25e-05
70,0.05646422877907753,0.060172672800976656,6.25e-05
71,0.05647814120524205,0.060196462761739206,6.25e-05
72,0.05637553344265773,0.06017038470198368,6.25e-05
73,0.056391850901910894,0.060195893819989826,6.25e-05
74,0.05648291328778634,0.06020799600358667,6.25e-05
75,0.05646720343770889,0.06023956886653242,3.125e-05
76,0.056318738053624445,0.06018387205128012,3.125e-05
77,0.05632816571742296,0.060209560368595455,3.125e-05
78,0.056382731864085565,0.060171568958923734,3.125e-05
79,0.05632689553671158,0.06019120175262977,3.125e-05
80,0.05628853524820163,0.06021518350161355,3.125e-05
81,0.05627368894907144,0.060196343552449655,3.125e-05
82,0.05633964094404991,0.06024690820225354,3.125e-05
83,0.056297344714403154,0.06020885346264675,3.125e-05
84,0.056295522631934054,0.06020021682669376,3.125e-05
85,0.05629769755670658,0.06023380250252526,3.125e-05
86,0.056248504066696535,0.06026533811256803,1.5625e-05
87,0.05630348856345965,0.06023655536359754,1.5625e-05
88,0.0562332744208666,0.060266737408679105,1.5625e-05
89,0.056243367521808696,0.06025025582519071,1.5625e-05
90,0.0563051810201544,0.060252063490193464,1.5625e-05
91,0.05622352292904487,0.060243202694531144,1.5625e-05
92,0.05629251026190244,0.06024310647927482,1.5625e-05
93,0.056266268973167125,0.06025993618471869,1.5625e-05
94,0.05621657252598267,0.06027216528510225,1.5625e-05
95,0.05624828377308754,0.060245672561999024,1.5625e-05
96,0.0562333337102945,0.06026797317739191,1.5625e-05
97,0.056212976216696776,0.060258210733019076,7.8125e-06
98,0.056233646949896444,0.060275545536444104,7.8125e-06
99,0.05618423739304909,0.06026705868285278,7.8125e-06
100,0.0562419791920827,0.06026961744345467,7.8125e-06
